;Evaluation
627;622.6942
628;623.6239
629;454.4891
630;1000.7662
631;477.5000
632;669.4292
633;529.4371
634;1677.3680
635;560.0588
636;560.9989
637;374.9589
638;461.1300
639;484.0325
640;598.8587
641;728.1122
642;850.3747
643;729.8002
644;465.3713
645;683.4052
646;540.4702
647;734.4140
648;1469.6712
649;1470.4565
650;491.0999
651;543.7391
652;940.0017
653;1034.8973
654;334.8042
655;547.2028
656;452.9914
657;386.8384
658;653.7217
659;455.7180
660;525.0187
661;389.8595
662;351.8346
663;880.4908
664;1174.8734
665;460.6840
666;2119.9112
667;1515.0077
668;531.1980
669;506.8506
670;761.1802
671;561.8060
672;890.4288
673;563.3148
674;536.0913
675;1192.1890
676;565.6583
677;468.2296
678;829.3254
679;599.8973
680;432.8832
681;374.1386
682;639.1724
683;453.7043
684;436.5089
685;377.2624
686;456.8159
687;549.1283
688;314.7555
689;612.9601
690;425.3162
691;692.0688
692;554.6011
693;653.4110
694;428.1874
695;928.6509
696;349.2094
697;533.0765
698;509.7527
699;701.8382
700;1021.7462
701;625.3336
702;512.5885
703;513.5385
704;807.9112
705;707.8498
706;809.8948
707;454.4929
708;1894.5172
709;495.1751
710;543.2845
711;713.9955
712;714.9276
713;572.8868
714;521.7532
715;500.0234
716;606.2337
717;524.5179
718;641.9635
719;680.6636
720;399.9676
721;553.2838
722;485.0793
723;583.0407
724;897.8990
725;1062.0372
726;835.3760
727;509.4437
728;1674.7331
729;838.2805
730;734.4305
731;692.1673
732;906.0593
733;655.3173
734;983.8796
735;537.6106
736;696.6598
737;624.2724
738;698.6533
739;540.8198
740;700.8016
741;627.9749
742;628.9171
743;703.8457
744;798.5884
745;856.5563
746;800.3846
747;751.2955
748;859.5451
749;1719.8039
750;860.7580
751;1722.3630
752;464.6688
753;806.3541
754;756.8916
755;1101.8379
756;527.9053
757;759.7984
758;1106.0645
759;676.8684
760;938.0474
761;1017.1313
762;421.8458
763;680.5827
764;533.5818
765;1534.9058
766;1228.8219
767;1024.9228
768;615.8929
769;560.8508
770;726.7454
771;727.6819
772;590.0198
773;885.9180
774;1378.9633
775;955.5845
776;1553.6929
777;691.4689
778;889.9572
779;542.6680
780;568.2834
781;695.5113
782;963.9311
783;1045.1733
784;523.5125
785;1143.0245
786;839.1467
787;900.0037
788;970.1490
789;574.2101
790;527.2737
791;844.5613
792;470.1209
793;847.1461
794;706.8976
795;707.8370
796;708.7743
797;1160.7162
798;1064.8940
799;799.5867
800;557.1424
801;986.5538
802;642.1973
803;803.6804
804;1072.4826
805;858.9150
806;1289.2585
807;992.6581
808;404.2326
809;863.2266
810;810.2085
811;564.5752
812;999.7821
813;765.4776
814;723.8930
815;869.5970
816;816.1727
817;1005.4258
818;934.5342
819;1007.3367
820;1008.1054
821;656.1637
822;938.3015
823;773.6546
824;598.7753
825;599.7253
826;660.6464
827;472.8519
828;1019.3460
829;1473.2719
830;780.9076
831;781.8447
832;700.4822
833;1331.8053
834;1211.6378
835;889.3986
836;703.1017
837;581.7766
838;1115.9869
839;1218.3321
840;706.2438
841;560.0459
842;585.3492
843;586.3038
844;1038.2206
845;1500.5355
846;1351.3755
847;1040.4075
848;645.0107
849;484.7208
850;1044.9274
851;1510.1168
852;680.4996
853;439.9976
854;569.2845
855;720.0326
856;1520.9464
857;1369.7333
858;761.9020
859;1055.8615
860;528.8909
861;764.8898
862;918.7976
863;2757.1801
864;985.6299
865;727.1984
866;601.6831
867;692.8823
868;924.7740
869;479.2921
870;773.1283
871;580.7975
872;581.7523
873;1270.1802
874;932.3287
875;1272.2543
876;778.4318
877;610.1573
878;1560.1746
879;878.5335
880;879.4066
881;782.6357
882;1281.5365
883;940.6410
884;743.5441
885;505.5091
886;1011.9419
887;945.4063
888;835.1204
889;710.7970
890;837.1640
891;791.5943
892;1188.3019
893;595.1046
894;650.1448
895;753.7361
896;955.6559
897;844.1621
898;684.3134
899;846.2544
900;686.0124
901;848.3651
902;760.0075
903;1313.6396
904;761.4728
905;724.3348
906;1208.1330
907;763.9696
908;1117.4922
909;559.7049
910;809.4031
911;1215.0131
912;695.2385
913;504.4126
914;610.4527
915;977.6504
916;699.2695
917;700.2183
918;669.3427
919;775.9731
920;1639.0472
921;984.3586
922;704.0605
923;822.3426
924;871.6536
925;872.5913
926;1060.4977
927;1650.5490
928;708.3291
929;1653.6461
930;709.6553
931;710.6052
932;1148.8212
933;650.2861
934;1247.2849
935;681.2897
936;750.3571
