;Evaluation
635;0.9226
636;0.9138
637;0.7966
638;0.9310
639;0.9210
640;0.8925
641;0.9593
642;0.9477
643;0.9076
644;0.8978
645;0.9046
646;0.9328
647;0.9056
648;0.9379
649;0.9283
650;0.9248
651;0.8905
652;0.9388
653;0.9212
654;0.9448
655;0.9319
656;0.8401
657;0.9421
658;0.8839
659;0.9035
660;0.9378
661;0.9350
662;0.9410
663;0.9419
664;0.9131
665;0.9395
666;0.9558
667;0.9431
668;0.8527
669;0.9487
670;0.9262
671;0.8832
672;0.9362
673;0.8177
674;0.8863
675;0.9399
676;0.9327
677;0.7878
678;0.9160
679;0.9422
680;0.9249
681;0.9181
682;0.8843
683;0.9208
684;0.9445
685;0.8728
686;0.9263
687;0.9181
688;0.9204
689;0.9039
690;0.9587
691;0.9147
692;0.9023
693;0.9392
694;0.9269
695;0.9205
696;0.9176
697;0.9006
698;0.8304
699;0.9384
700;0.9413
