;Evaluation
1003;930.6271
1004;648.3427
1005;1147.9886
1006;1493.1800
1007;996.3783
1008;748.1830
1009;749.0801
1010;937.1922
1011;1500.3745
1012;938.6678
1013;578.6005
1014;684.7527
1015;1256.2692
1016;1371.3376
1017;686.6210
1018;687.5739
1019;841.2959
1020;842.2385
1021;798.8525
1022;1518.7129
1023;800.2418
1024;1901.3850
1025;1015.0014
1026;1269.6643
1027;1270.5695
1028;1525.5805
1029;763.7386
1030;804.8728
1031;1177.2709
1032;638.6326
1033;1179.9335
1034;808.2647
1035;1024.7144
1036;854.8703
1037;1539.6521
1038;906.6126
1039;964.2032
1040;1187.6302
1041;858.6696
1042;672.9565
1043;704.4972
1044;646.7442
1045;597.9530
1046;1196.8257
1047;865.3121
1048;708.9331
1049;1200.6501
1050;822.4408
1051;1303.1073
1052;711.7261
1053;603.1894
1054;1046.4590
1055;1427.8958
1056;982.6136
1057;2621.1082
1058;983.8492
1059;563.1581
1060;686.5386
1061;929.7824
1062;988.8250
1063;1319.3429
1064;990.4429
1065;1761.6646
1066;793.6899
1067;722.4789
1068;1445.8556
1069;884.4902
1070;1592.9697
1071;839.3505
1072;1450.6851
1073;1330.7008
1074;940.2575
1075;1599.3319
1076;1000.5163
1077;801.3572
1078;1145.7210
1079;764.7625
1080;1785.3307
1081;1148.6392
1082;519.7056
1083;672.2419
1084;807.6382
1085;1243.4033
1086;1155.5102
1087;1156.4314
1088;1472.7274
1089;1350.8312
1090;1801.9861
1091;1475.2544
1092;902.4593
1093;1354.5855
1094;1016.8746
1095;814.3891
1096;1253.8265
1097;494.8989
1098;1257.2018
1099;908.9139
1100;780.0153
1101;964.4830
1102;1640.4142
1103;965.8841
1104;913.1584
1105;715.5790
1106;749.0582
1107;2355.0336
1108;660.3671
1109;1032.7185
1110;1033.6506
1111;827.8649
1112;920.7926
1113;873.2739
1114;1844.4617
1115;755.4897
1116;1385.9763
1117;1040.4157
1118;925.7519
1119;1191.1771
1120;1853.8168
1121;759.3302
1122;1194.1589
1123;984.3571
1124;985.2931
1125;762.3155
1126;1398.4910
1127;1291.8321
1128;2100.0905
1129;1400.9714
1130;1051.6635
1131;732.5335
1132;1053.9449
1133;844.1004
1134;845.0489
1135;1127.6606
1136;891.2020
1137;1129.7866
1138;1541.5183
1139;1060.7252
1140;1213.1762
1141;1214.1002
1142;1134.0885
1143;1309.4647
1144;1064.8726
1145;947.4892
1146;1422.1430
1147;1219.8958
1148;712.5613
1149;855.9723
1150;1317.7972
1151;2142.2829
1152;2449.1766
1153;953.3994
1154;1320.9752
1155;1321.8958
1156;1910.2864
1157;1075.4663
1158;1076.4009
1159;957.7438
1160;508.0085
1161;1234.6583
1162;1330.5443
1163;1922.7748
1164;1923.6610
1165;912.1448
1166;1084.0448
1167;1735.3629
1168;724.0159
1169;1931.5809
1170;2173.7771
1171;870.4538
1172;757.8700
1173;830.9976
1174;831.9487
1175;1942.0917
1176;1093.3589
1177;729.8613
1178;1593.3278
1179;1252.8252
1180;798.2043
1181;1351.7202
1182;606.9042
1183;1600.9257
1184;1957.5672
1185;1102.0611
1186;477.5372
1187;804.0832
1188;1106.5469
1189;1265.5264
1190;933.4310
1191;739.9168
1192;808.1305
1193;1270.8460
1194;1187.0529
1195;3561.9370
1196;685.9451
1197;1115.5958
1198;1275.8926
1199;1117.3400
1200;1987.2428
1201;1278.4314
1202;1989.5559
1203;1194.5957
1204;1629.9004
1205;1121.4814
1206;898.1254
1207;1123.5856
1208;1499.0194
1209;1285.7887
1210;2572.3555
1211;1201.3540
1212;784.4457
1213;1388.7787
1214;2257.6333
1215;1290.9975
1216;754.0378
1217;953.4143
1218;954.3575
1219;1296.1237
1220;1068.3306
1221;1069.2619
1222;1299.3020
1223;827.7790
1224;1656.4639
1225;959.9466
1226;1216.8594
1227;2282.4772
1228;1218.2516
1229;1306.1940
1230;1829.5611
1231;1664.1354
1232;705.0175
1233;734.1341
1234;798.9191
1235;1149.3623
1236;1672.6974
1237;635.4355
1238;1536.5480
1239;1317.9685
1240;1154.1566
1241;1679.6691
1242;1087.6558
1243;2642.2993
1244;2312.8776
1245;1028.8885
1246;1235.5942
1247;1030.5972
1248;1031.5333
1249;978.1869
1250;1033.4731
1251;1551.1202
1252;980.5969
1253;777.2614
1254;1435.8591
1255;1037.9466
1256;890.6167
1257;1101.1078
1258;2080.7450
1259;1561.4687
1260;2342.9480
1261;2678.5082
1262;1705.4102
1263;782.6028
1264;1342.5213
1265;1567.1895
1266;896.4843
1267;1177.5709
1268;1178.5002
1269;2095.9976
1270;1451.9562
1271;1349.1677
1272;945.3579
1273;1261.4080
1274;1183.5042
1275;1578.9190
1276;1354.2755
1277;1355.1303
1278;1898.0708
1279;1117.4507
1280;1462.2019
1281;2376.9508
1282;1119.5041
1283;1190.4076
1284;1003.3905
1285;1734.0209
1286;1363.3662
1287;909.8136
1288;1195.0651
1289;1739.1786
1290;1367.4191
1291;1197.4248
1292;1127.9268
1293;1066.2003
1294;1371.6829
1295;1201.1560
1296;916.1142
1297;1203.3202
1298;1481.9270
1299;1285.2657
1300;1205.8697
1301;2412.5774
1302;1207.2239
1303;920.7378
1304;1209.4040
1305;968.4678
1306;1020.3755
1307;1616.5064
1308;1386.4159
1309;971.4297
1310;1619.9525
1311;1620.8632
1312;1497.1015
1313;974.0641
1314;847.9663
1315;1626.1768
1316;1952.2755
1317;1627.7978
1318;1086.1405
1319;1778.2256
1320;1030.4407
1321;1399.3701
1322;1225.3723
1323;1961.4858
1324;1226.8007
1325;935.6548
1326;1310.8466
1327;1405.3348
1328;1968.3639
1329;895.6568
1330;986.1703
1331;897.4490
1332;1162.3419
1333;1520.8913
1334;1041.5561
1335;1100.3515
1336;1238.8261
1337;1802.8244
1338;1417.3505
1339;1241.1029
1340;1806.1413
1341;1104.6943
1342;1243.6840
1343;1658.9937
1344;1810.6968
1345;1328.7719
1346;1993.9518
1347;1050.3899
1348;2495.5464
1349;1110.0716
1350;1428.1537
1351;1177.0508
1352;1251.5464
1353;835.3208
1354;743.4631
1355;1181.7187
1356;1058.2202
1357;838.6718
1358;2876.2702
1359;1119.4904
1360;1550.9846
1361;2017.1734
1362;2018.0685
1363;961.9335
1364;1263.4635
1365;1838.6727
1366;1190.6082
1367;1265.9534
1368;1447.7013
1369;1267.6694
1370;1015.0337
1371;1128.7569
1372;1694.0422
1373;1564.5384
1374;1695.8263
1375;848.8685
1376;1456.1294
1377;971.6570
1378;1201.2203
1379;1202.1555
1380;974.1240
1381;1462.1125
1382;1204.9736
1383;2276.9350
1384;854.8060
1385;1140.6826
1386;734.2573
1387;1582.3918
1388;1470.2806
1389;1211.7000
1390;824.9110
1391;1214.0395
1392;3440.5946
1393;939.2961
1394;1292.4035
1395;1089.2845
1396;2070.5357
1397;714.9409
1398;715.9041
1399;1483.8702
1400;945.2293
1401;946.1820
1402;1388.6427
1403;772.4259
1404;1490.5997
1405;1392.0921
1406;1229.2523
1407;1900.6421
1408;1307.6234
1409;1902.8594
1410;1496.0284
1411;1164.5192
1412;1747.6917
1413;2331.1426
1414;2623.3761
1415;954.9049
1416;657.4642
1417;1052.8896
1418;1317.0445
1419;1317.9806
1420;754.0940
1421;1408.5658
1422;1626.1873
1423;1410.2918
1424;1628.1759
1425;921.2290
1426;1009.9155
1427;1928.9257
1428;1633.0864
1429;1517.3596
1430;1518.2841
1431;2126.4916
1432;2363.6508
1433;1637.2659
1434;2365.8182
1435;1936.5756
1436;888.5461
1437;1255.3519
1438;2134.9436
1439;1335.2726
1440;1781.1951
1441;3054.3108
1442;1069.9401
1443;1784.1460
1444;1530.1911
1445;1429.0739
1446;1261.8797
1447;1431.0538
1448;895.3638
1449;2149.7665
1450;1654.5737
1451;1076.4126
1452;3076.3188
1453;1436.5448
1454;1027.0539
1455;1660.0059
1456;1270.3490
1457;1137.5696
1458;1544.7639
1459;1030.7917
1460;1547.1141
1461;1805.8805
1462;2167.9516
1463;1446.2299
1464;1669.6100
1465;1974.0755
1466;2172.3803
1467;701.7342
1468;1360.4635
1469;1452.0921
1470;1038.1522
1471;1039.1025
1472;780.2892
1473;1286.1175
1474;841.8802
1475;2432.9726
1476;1564.9783
1477;1461.5684
1478;1154.8129
1479;998.2446
1480;999.1972
1481;687.9149
1482;1001.5559
1483;1574.7846
1484;882.8371
1485;2759.6784
1486;1577.8831
1487;2455.3660
1488;1700.7875
1489;1229.2876
1490;1476.0661
1491;1230.9968
1492;1705.3591
1493;1109.3775
1494;2774.3154
1495;1586.1739
1496;2468.2600
1497;1587.6259
1498;1235.7565
1499;1113.1202
1500;1172.6488
1501;1173.5943
1502;1593.6604
1503;1175.1681
1504;1595.7892
1505;2031.9008
1506;1597.4108
1507;1316.4531
1508;1492.9067
1509;2800.0656
1510;1600.9597
1511;1246.1314
1512;1870.0694
1513;1247.6486
1514;2246.6604
1515;1322.5031
1516;1249.9185
1517;938.3942
1518;901.8166
1519;1735.1822
1520;1612.1511
1521;1328.5847
1522;869.6459
1523;1028.7148
1524;1509.7132
1525;1888.0475
1526;1079.8228
1527;3240.3041
1528;2062.9128
1529;1135.4509
1530;1336.7637
1531;2066.7230
1532;1197.4677
1533;1422.8654
1534;1265.7009
1535;1519.7709
1536;1629.2470
1537;1630.1725
1538;1522.4149
1539;1269.6214
1540;1758.8565
1541;915.5619
1542;1431.5013
1543;1762.7620
1544;1763.6798
1545;1911.5640
1546;1350.2777
1547;2296.3650
1548;1436.1638
1549;2298.7600
1550;1278.0310
1551;2556.9455
1552;1439.2094
1553;1772.2539
1554;1098.0608
1555;1357.3487
1556;1649.1336
1557;1443.9267
1558;2567.8641
1559;1284.8660
1560;1779.9642
1561;1447.1529
1562;1544.5600
1563;1545.4899
1564;1160.0651
1565;1934.3573
1566;2111.0889
1567;1659.6372
1568;1162.6925
1569;2907.6015
1570;1790.2130
1571;1369.9218
1572;3882.2740
1573;1295.0332
1574;1554.9699
1575;1372.9127
1576;1297.5812
1577;835.1222
1578;1949.5247
1579;1800.4715
1580;1018.6128
1581;2130.7338
1582;1172.8513
1583;1564.7323
1584;1467.8620
1585;1022.0763
1586;1238.1956
1587;1384.8045
1588;1385.7438
1589;1813.0453
1590;1813.9649
1591;1685.3198
1592;1573.8968
1593;1687.2419
1594;1390.4275
1595;1819.1693
1596;3942.3417
1597;1479.3126
1598;2152.5858
1599;1579.4931
1600;1580.3577
1601;1078.4693
1602;1483.8272
1603;1696.7264
1604;1697.6533
1605;2161.5541
1606;1699.2882
1607;1400.3521
1608;2645.9965
1609;1588.5269
1610;1833.8353
1611;1325.3755
1612;2982.9253
1613;1836.5533
1614;1837.4656
1615;1493.8701
1616;1992.7418
1617;1595.1212
1618;1197.2890
1619;1711.3391
1620;1997.4626
1621;1090.4149
1622;3999.0139
1623;857.8908
1624;1045.3201
1625;1850.3303
1626;1604.5386
1627;1505.1897
1628;1338.8842
1629;3013.3363
1630;2192.4127
1631;1608.6669
1632;1341.4991
1633;3019.2399
1634;1208.6394
1635;1612.4497
1636;2199.6951
1637;1729.2553
1638;1153.7722
1639;2423.8184
1640;1616.8004
1641;4042.8303
1642;2206.0861
1643;2023.1446
1644;2207.9660
1645;1056.9380
1646;3039.5626
1647;2211.4984
1648;1431.9073
1649;1160.1138
1650;2707.8189
1651;2031.7763
1652;1220.0114
1653;2219.1079
1654;1744.5091
1655;4885.4155
1656;1879.9242
1657;4888.5950
1658;1881.1481
1659;1288.0401
1660;1530.4639
1661;1633.4256
1662;943.3153
1663;1227.2556
1664;1364.5569
1665;1365.4723
1666;1366.4114
1667;984.7742
1668;1173.2535
1669;1369.7383
1670;1644.6160
1671;3084.5235
1672;2468.5153
1673;1074.2223
1674;1373.5566
1675;1237.0836
1676;1650.3464
1677;1457.1193
1678;1126.8901
1679;1078.8486
1680;1241.6169
1681;1911.0929
1682;1184.0077
1683;1913.5482
1684;1185.5279
1685;1779.2180
1686;3114.5030
1687;1558.1848
1688;2493.9798
1689;713.5359
1690;1665.8433
1691;1666.7740
1692;1316.8133
1693;927.6036
1694;1566.2657
1695;2279.1077
1696;2280.0107
1697;2090.9192
1698;1394.8882
1699;2283.4468
1700;1675.3936
1701;1676.2583
1702;1198.2723
1703;2288.5188
1704;1574.2827
1705;1680.1596
1706;2292.0325
1707;1801.8071
1708;587.6070
1709;972.7705
1710;1488.7037
1711;1101.3012
1712;2111.6524
1713;1950.1380
1714;1335.2498
1715;4229.1166
1716;1692.5686
1717;1411.4155
1718;1338.0732
1719;1589.8826
1720;1590.8126
1721;1414.9874
1722;1062.1949
1723;2125.3028
1724;1962.7366
1725;1701.9640
1726;2128.3542
1727;2322.7470
1728;1825.9144
1729;1826.8413
1730;1827.7617
1731;1600.2250
1732;1507.0338
1733;1114.8489
1734;1710.3668
1735;1604.4041
1736;1167.7915
1737;1977.1820
1738;989.5469
1739;1838.6561
1740;2861.0150
1741;1356.1634
1742;2148.1729
1743;1228.4778
1744;2150.7498
1745;1986.2289
1746;2152.6621
1747;3691.1312
1748;1520.8153
1749;1521.7543
1750;1725.5644
1751;3236.3038
1752;1726.9567
1753;2591.3293
1754;1525.2296
1755;1852.9903
1756;1853.9152
1757;895.9199
1758;1999.4989
1759;1625.5213
1760;1734.8128
1761;1302.0582
1762;2004.0836
1763;1448.3317
1764;2173.4108
1765;966.9212
1766;1306.2835
1767;1537.7414
1768;2905.5082
1769;1377.2380
1770;1636.3885
1771;2014.9336
1772;1008.4267
1773;1639.6290
1774;1381.6859
1775;2188.5802
1776;2189.4924
1777;2628.2780
1778;1878.2626
1779;1644.4139
1780;1880.2573
1781;1463.3587
1782;1647.2128
